
2025/10/17 (06:43:26) | ===> btop++ v.1.3.0
2025/10/17 (06:48:10) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:48:12) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:48:14) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:48:16) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:48:19) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:48:21) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:48:23) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:48:25) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:48:27) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:48:29) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:48:31) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:48:33) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:48:35) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:48:37) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:48:39) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:48:41) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:48:43) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:48:45) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:48:47) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:48:49) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:48:51) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:48:53) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:48:55) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:48:57) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:48:59) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:49:01) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
